#each line of this file is the electricity trade-off from the first week of the 2017 to last week of 2019, last line is the mean value of all the previous line
ALB,AUT,BIH,BEL,BGR,BLR,CHE,CZE,DEU,DNK,EST,ESP,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ITA,LTU,LUX,LVA,MDA,MNE,MKD,MLT,NLD,NOR,POL,PRT,ROU,SRB,RUS,SWE,SVN,SVK,TUR,UKR
-219,-1280,368,-613,679,149,-1630,2480,7620,-621,198,998,-1960,-3830,758,-501,-442,-1330,-16.3,-4250,-1050,-534,92.3,-84.8,-45.5,-243,-96.0,607,2410,-416,-312,581,-757,1060,2050,-114,-411,269,453
-265,-1880,419,-312,562,146,-1770,914,9960,610,-25.1,1260,-2020,-1230,52.5,-628,-672,-1290,88.6,-3930,-1110,-521,74.8,-95.2,29.3,-238,-70.7,-162,178,-404,-457,689,-891,835,2000,-84.2,-589,282,561
30.6,-1150,642,-807,551,233,-2360,990,7790,-493,67.0,202,-2100,1000,-1720,-734,-123,-1420,121,-4670,-1060,-516,138,-102,79.2,-284,-49.8,325,2370,-311,-317,724,-635,881,1850,244,-377,180,825
-243,-1040,564,-794,507,228,-1930,1060,6870,-92.7,123,-576,-1860,2880,-1460,-666,-349,-1240,44.6,-5400,-1170,-480,32.9,-84.6,57.6,-260,-54.7,225,1780,-260,-295,633,-546,620,2530,-21.5,-277,216,730
-312,-2050,92.4,-85.4,609,18.4,-2670,936,1080,132,132,-1350,-2060,4200,-2750,-1060,-457,-849,99.0,-3830,-886,-357,149,-92.3,-75.7,-291,-115,-629,-577,-637,-173,697,-533,917,2030,197,178,-50.5,688
75.5,-1340,274,-782,263,279,-2090,256,8090,-866,236,-1650,-2240,8960,-2990,-1120,-414,-1300,148,-4640,-926,-427,320,-63.6,34.1,-344,-161,-1570,478,-802,-408,511,58.6,1520,1740,-4.30,180,56.0,656
187,-672,565,-1800,210,226,-1410,1320,5760,-64.3,281,-2700,-2500,7210,-3020,-982,-177,-1460,76.0,-5920,-1190,-507,484,-74.2,105,-303,-152,-203,2300,-1130,425,727,292,979,1930,329,-40.7,123,771
137,-263,570,-1370,147,415,-1720,868,6580,-579,398,-2100,-2390,1020,-3060,-1210,-199,-1520,125,-6140,-1230,-491,125,-73.8,131,-365,-93.0,-432,1910,-745,-433,276,-9.24,621,1360,26.1,-274,126,725
337,-952,392,-1460,185,277,-1420,347,6330,308,16.9,-2910,-2480,1160,-2930,-1000,-353,-2000,105,-6660,-1230,-515,110,-85.8,103,-357,-101,-494,1520,-831,277,362,36.5,706,2080,-25.6,-202,166,707
364,-942,528,-1370,315,277,-1430,640,7730,709,123,-3330,-2250,7750,-2940,-1170,-233,-1630,47.2,-6250,-1150,-510,83.4,-73.5,168,-227,-45.3,-144,1000,-751,556,742,-52.2,757,2010,-88.6,-142,47.1,886
635,-1130,877,-858,477,418,-938,491,7080,104,241,-2110,-2440,3750,-2530,-943,-332,-1480,48.9,-5570,-1240,-535,2.73,-67.2,294,-123,-21.9,773,2520,-739,-233,893,-47.0,779,1320,81.2,-326,8.06,882
