Entity,Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh),Total (TWh)
France,8.547846999999999,36.22530066666666,57.52348633333333,8.770363666666666,10.907452000000001,11.347965333333335,28.935839666666666,403.4142509999993,565.6725056666661
United Kingdom,15.434321829333333,133.17068838166634,5.749868868333326,32.295049781999936,12.434248728666667,6.6991217673333265,57.02145672366663,64.19220941066663,326.9969654916662
Greece,16.056323767333264,15.789065484333333,4.660774352,0.3127226666666663,3.9194075206666668,5.716507333333333,6.35910712133333,0.0,52.813908245666596
Croatia,1.4802926666666665,2.644661333333333,6.291411999999997,0.7029423333333327,0.07724666666666667,0.10734033333333333,1.3267393333333333,0.0,12.630634666666664
Hungary,4.512172376666659,7.812051172333334,0.22790161933333333,2.2742066443333298,0.7799582066666666,0.48616672666666666,0.7063363036666667,16.039497803,32.83829085266665
Ireland,2.13188328,16.108949185999933,0.7570683653333333,0.8070049999999996,0.014704333333333333,2.4404677676666666,8.515450037999992,0.0,30.77552797033326
Italy,26.921668657666668,135.4582803333333,43.954137781333266,25.342073156666668,23.900595666666632,16.118623,18.592362691,0.0,290.28774128666663
Lithuania,0.0,0.46573593266666663,0.4620666353333323,0.5383671356666667,0.08163845533333326,0.211803535333333,1.3119197609999966,0.0,3.0715314553333286
Luxembourg,0.0,0.203821,0.09040166666666677,0.20208566666666603,0.115971,0.07729266666666666,0.247991,0.0,0.9375629999999994
Latvia,0.0002976666666666666,2.8719813823333333,2.9733975573333336,0.9171440316666667,0.0009953333333332667,0.0025719999999999667,0.14004268666666667,0.0,6.9064306580000006
Moldova,4.16299284210526,0.5451538245614027,0.28441,0.027999999999999997,0.0026666666666666666,0.0,0.024333333333333332,0.0,5.0475566666666625
Montenegro,1.4057177777777767,0.0,1.80101,0.0,0.0,0.0,0.15,0.0,3.356727777777776
North Macedonia,3.1833333333333336,0.7999999999999999,1.355107,0.053568000000000005,0.023255333333333298,0.0,0.10320800000000001,0.0,5.518471666666667
Malta,0.0,1.5924229999999933,0.0,0.0092133333333333,0.18046066666666602,0.076474,5.8e-05,0.0,1.8586289999999925
Netherlands,25.487083999999967,63.06710366666667,0.06909566666666667,4.984237666666666,3.740153999999997,5.848057666666667,10.885174333333334,3.6089986666666665,117.68990566666662
Norway,0.0,2.5195133333333333,134.50529333333336,0.4263333333333333,0.005,0.0,4.085927333333333,0.0,141.54206733333334
Poland,126.85861827833298,12.399752168333299,2.1524683316666597,6.616285645333334,0.39687966666666635,4.678170937,14.249018143666667,0.0,167.3511931709996
Portugal,10.895546202666667,17.11342781,9.167062031,3.4911201303333335,1.0793881126666631,1.37726885233333,12.851390069666666,0.0,55.97520320866666
Romania,15.343903294333332,10.10244119166663,15.937975998333334,0.4933157329999996,1.8076474146666632,0.7066049999999989,6.832289193333334,11.388377450999968,62.61255527633326
Serbia,24.473735555555535,0.0,9.887963333333333,0.10066666666666667,0.013333333333333334,0.0,0.3486666666666667,0.0,34.82436555555554
Russia,170.72822794874332,483.4764989211464,188.27527333333333,3.294,0.755,10.5808197967759,0.229,189.13833333333332,1046.4771533333324
Sweden,0.33066666666666666,0.36600000000000005,64.64044587533333,12.287316835333334,0.34800000000000003,2.8983333333333334,18.050627116333334,67.140399555,166.061789382
Slovenia,4.6462809573333335,0.5066997523333331,4.397664606,0.2756497356666667,0.264458286,0.016231439666666667,0.0059119,5.960627935999994,16.073524612999993
Slovakia,2.8300921449999965,2.2189002946666667,4.1622769286666665,1.7813926186666666,0.5654113989999997,0.6873333333333332,0.007308833333333334,15.096323063333335,27.349038615999998
Turkey,100.9088236317923,81.16439514086686,68.43704666666666,9.866666666666667,6.4943333333333335,1.442696560673583,19.65756233333333,0.0,287.9715243333328
Ukraine,45.55723641220613,7.789673275492014,8.955689999999999,0.2653333333333333,0.9486666666666667,1.9620636456351501,1.211,79.57600000000001,146.26566333333332
