Entity,Code,Year,Electricity from coal (TWh),Electricity from gas (TWh),Electricity from hydro (TWh),Electricity from other renewables (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from nuclear (TWh)
Germany,DEU,2019,171.5,90.5,19.7,50.39999999999991,46.4,24.4,125.9,75.1
Greece,GRC,2017,18.765,17.127831,3.962547,0.310027999999999,3.991477,5.49496,5.53698699999999,0.0
Greece,GRC,2018,17.1851549999999,14.085467,5.743448,0.31407,3.790652,5.827281,6.300259,0.0
Greece,GRC,2019,12.2188163019999,16.153898453,4.276328056,0.31407,3.976093562,5.827281,7.240075364,0.0
Hungary,HUN,2017,4.93199999999999,7.838,0.22,2.155,0.349,0.453,0.758,16.098
Hungary,HUN,2018,4.669,7.234,0.222,2.304,0.62,0.476,0.607,15.733
Hungary,HUN,2019,3.93551712999999,8.364153517,0.241704858,2.36361993299999,1.37087462,0.52950018,0.754008911,16.287493409
Ireland,IRL,2017,3.644562,15.6834369999999,0.691603,0.732898999999999,0.010801,2.461972,7.444037,0
Ireland,IRL,2018,2.151674,16.01749,0.69409,0.844058,0.016656,2.532482,8.63976699999999,0
Ireland,IRL,2019,0.59941384,16.6259205579999,0.885512096,0.844058,0.016656,2.326949303,9.46254611399999,0
Italy,ITA,2017,32.627426,140.363587,36.19871,25.568153,24.3777109999999,16.454387,17.741909,0.0
Italy,ITA,2018,28.469868,128.555627,48.7864139999999,25.245768,22.653838,15.950741,17.716434,0.0
Italy,ITA,2019,19.667711973,137.455627,46.8772893439999,25.21229847,24.670238,15.950741,20.318745073,0.0
Latvia,LVA,2017,0.000207,2.068806,4.38062,0.93064,0.00044,0.000476,0.15,0.0
Latvia,LVA,2018,0.000343,3.218697,2.431569,0.943625,0.0012729999999999,0.0072399999999999,0.122038,0.0
Latvia,LVA,2019,0.000343,3.328441147,2.108003672,0.877167095,0.0012729999999999,0.0,0.14809006,0.0
Lithuania,LTU,2017,0.0,0.597587,0.602398999999999,0.503648,0.0680289999999999,0.222564999999999,1.36384099999999,0.0
Lithuania,LTU,2018,0.0,0.3303,0.430999999999999,0.543,0.0866,0.2159,1.144,0.0
Lithuania,LTU,2019,0.0,0.469320798,0.352800905999999,0.568453407,0.0902863659999999,0.196945606,1.427918283,0.0
Luxembourg,LUX,2017,0.0,0.220921,0.0856490000000003,0.171453,0.108463,0.077514,0.234823,0.0
